JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Operations Research (OR) Engineer,Cerebri AI,"Toronto, ON",,30+ days ago,"Ph.D./MSc in operations research, applied statistics, data mining, machine learning, or a related quantitative discipline.
Python, Scala (some R, some MATLAB).",https://ca.indeed.com/rc/clk?jk=b72c99c56b856a63&fccid=799362a2faa3b40a&vjs=3
Research Engineer - HCI Platform Architecture,Facebook,"Toronto, ON",,30+ days ago,"Familiarity with machine learning or deep learning.
Work with local and remote cross-functional teams to lead the integration of research in machine learning…",https://ca.indeed.com/rc/clk?jk=5ff71fa45cfbdeb2&fccid=1639254ea84748b5&vjs=3
Data Engineer,ecobee,"Toronto, ON",,16 days ago,"Working closely with product, platform, server and mobile teams you will work to collect, preprocess and prepare our data in order to fulfill machine learning…",https://ca.indeed.com/rc/clk?jk=e5ed36b83091a855&fccid=fc952d9205e32d0d&vjs=3
Senior iOS Engineer,Credit Sesame,"Toronto, ON",,30+ days ago,You’ll work with some of the sharpest minds on utilizing cutting edge architectural design patterns and coding standards.,https://ca.indeed.com/rc/clk?jk=27ff1cafbbe46f16&fccid=6374759aed463ee1&vjs=3
Entry Level Software Developer - Remote,"Calian, Advanced Technologies","Saskatoon, SK",,30+ days ago,"Three-tiered Java/C++ software developer, working with a small team of senior engineers enhancing systems used in the modelling and planning of satellite…",https://ca.indeed.com/rc/clk?jk=1928c445042278bd&fccid=aea4f5b920dd0ca2&vjs=3
Sr. Hardware Engineer,iS5 Communications,"Mississauga, ON",,6 days ago,You will utilize your expertise in design and development of products as you work with a lean and agile team of the best hardware and software engineers in the…,https://ca.indeed.com/rc/clk?jk=1a6c426acb9b3cf3&fccid=3ec5092dabea1469&vjs=3
Technical Project Manager,Wattpad,"Toronto, ON",,9 days ago,"You have experience working with machine learning projects.
The squad you will be on is responsible for both improving the writer experience and increasing our…",https://ca.indeed.com/rc/clk?jk=76338e7874377252&fccid=ea2f3473c53cb525&vjs=3
Computer Vision Specialist/Engineer,Besnovo,"Ajax, ON",,30+ days ago,"3+ years of computer vision, machine learning, and deep learning expertise.
Besnovo is seeking an experienced computer vision engineer/specialist to lead the…",https://ca.indeed.com/company/Besnovo/jobs/Computer-Vision-Specialist-Engineer-003a12b19f62d1fd?fccid=fa5e4fce2fa4c772&vjs=3
Senior Machine Learning Engineer,Ceridian,"Toronto, ON",,30+ days ago,"Enhance and improve machine learning ops pipeline.
Solid Machine Learning background and familiar with deep learning, speech and machine learning techniques.",https://ca.indeed.com/rc/clk?jk=6b2a137e00b354dc&fccid=837c958b2711fe23&vjs=3
Big Data Engineer (Remote Optional),Centro,Ontario,,30+ days ago,Our platform processes over 300 billion events per day and uses AI and machine learning to automate and simplify the entire digital campaign process.,https://ca.indeed.com/rc/clk?jk=27a865e43c9dab5b&fccid=79bb07c74c0ae378&vjs=3
ML Engineer - Framework,TD Bank,"Toronto, ON",,30+ days ago,"Knowledge of machine learning algorithms.
Layer 6 develops advanced machine learning and deep learning systems that have the power to uplift large populations…",https://ca.indeed.com/rc/clk?jk=39e1bf03aa1f126d&fccid=d7114f1cac8d0711&vjs=3
Machine Learning Software Developer,Loblaw Companies Limited,Canada,,30+ days ago,"Deployed machine learning models in GCP environment or basic familiarity to Kubernetes/Kubeflow.
We’re looking for a solid software engineer with a data science…",https://ca.indeed.com/rc/clk?jk=52a64ba9df533859&fccid=bc30630cfcc120d4&vjs=3
Embedded Algorithm Development Engineer,Analog Devices,"Ottawa, ON",,30+ days ago,"Work closely with algorithm and signal processing experts, Rx/Tx sub-system architects, design engineers and product engineers.
Solid Knowledge of RF systems.",https://ca.indeed.com/rc/clk?jk=8befafcfcf685a03&fccid=795688f508690d17&vjs=3
Data Engineer,Localcoin,"Toronto, ON",,30+ days ago,"Beyond technical prowess, you'll need the soft skills it takes to communicate highly complex data trends to organizational leaders in a way that's easy to…",https://ca.indeed.com/rc/clk?jk=52165f9bdfcda525&fccid=890da6efe7e4a890&vjs=3
Compute Performance Developer Technology Engineer - CUDA,NVIDIA,"Toronto, ON",,30+ days ago,"While not a requirement, domain expertise in telecommunications, medical imaging, machine learning, deep learning, or natural sciences is helpful.",https://ca.indeed.com/rc/clk?jk=73ff8ae2bed75abc&fccid=c267f29f0f85e8b8&vjs=3
Senior Data Engineer,Wavo,"Montréal, QC",,30+ days ago,"Collaborate with other data engineers and machine learning teams to implement new data pipelines, improvements and fixes needed to build and extend our…",https://ca.indeed.com/rc/clk?jk=91fafb16a18383e8&fccid=17c4a6e1ba1e8d24&vjs=3
Senior Data Scientist,Microsoft,"Vancouver, BC",,30+ days ago,"Hands-on 3+ years of experience on machine learning, text analysis, data mining, and NLP.
Work with engineers in different feature areas to deliver the success…",https://ca.indeed.com/rc/clk?jk=3acb4eae91db5436&fccid=734cb5a01ee60f80&vjs=3
AI Researcher (Computer vision),Roboeye,"Toronto, ON",,30+ days ago,"Experience in leading the development of computer vision and machine learning algorithms and applications.
Lead proof-of-concept implementations, prototypes and…",https://ca.indeed.com/rc/clk?jk=a7296b740a641205&fccid=5c8f747995e8b7e2&vjs=3
Senior Data Scientist - RACE21,Teck Resources Limited,"Vancouver, BC",,30+ days ago,"Proficient in Python for data processing, statistical analysis, machine learning and visualization and skilled in writing SQL queries.",https://ca.indeed.com/rc/clk?jk=aa5645ca61c4b611&fccid=3b3560e05dbdfdeb&vjs=3
Senior RF IC Design Engineer,Ranovus,"Ottawa, ON",,30+ days ago,"Social networking, machine learning, and big data analytics demand ever-increasing network connectivity.
These ICs include classical RF analog circuits such as…",https://ca.indeed.com/rc/clk?jk=b691b3cdee8aa86b&fccid=569d0e2d2b6eba5d&vjs=3
Technical Product Owner - RACE21,Teck Resources Limited,"Vancouver, BC",,30+ days ago,"Deep understanding of big data, machine learning, business intelligence, data analytics and advanced visualizations is highly desirable.",https://ca.indeed.com/rc/clk?jk=79025cf01ae970ea&fccid=3b3560e05dbdfdeb&vjs=3
Build Software Engineer,Electronic Arts,"Vancouver, BC",,30+ days ago,The SPI Team (Studios and Partner Integrations) is focused on extending EADP network reach and increasing the quality of experiences within the network.,https://ca.indeed.com/rc/clk?jk=e3012ef423f4267a&fccid=617d7f961cfcf54a&vjs=3
Tableau Developer / Data Engineer,TMX Group Limited,"Toronto, ON",,17 days ago,"Experience designing a technology stack for machine learning is a plus.
The ideal candidate is an experienced data wizard who enjoys engineering data pipelines…",https://ca.indeed.com/rc/clk?jk=8a9c5cf0011850f2&fccid=e703782e9a357fad&vjs=3
Cloud Engineer,Loopio,"Toronto, ON",,30+ days ago,"Working with Product owners, Architects and Developers to find the best solution for services on the AWS platform.
Experience with Jenkins (CI/CD pipelines).",https://ca.indeed.com/rc/clk?jk=1bd6678817f1f71e&fccid=84a3fb2dd32764f4&vjs=3
Senior RF IC Design Engineer,Ranovus,"Ottawa, ON",,30+ days ago,"Social networking, machine learning, and big data analytics demand ever-increasing network connectivity.
These ICs include classical RF analog circuits such as…",https://ca.indeed.com/rc/clk?jk=b691b3cdee8aa86b&fccid=569d0e2d2b6eba5d&vjs=3
Research Intern - Interaction Tracking (PhD),Facebook,"Toronto, ON",,30+ days ago,"Experience in one or more of the following: Computer vision (e.g. e.g. tracking, pose estimation, action recognition), computer graphics (e.g. appearance,…",https://ca.indeed.com/rc/clk?jk=2ddb955b88d9b42d&fccid=1639254ea84748b5&vjs=3
Data Science Lead,Agility Fuel System,"Kelowna, BC",,30+ days ago,A deep understanding of a variety of statistical modelling and machine learning approaches and ability to apply them to a business problem.,https://ca.indeed.com/rc/clk?jk=077c6a0e68f0e1bd&fccid=e790b7eb5d3a2dc1&vjs=3
Technical Program Manager,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",,30+ days ago,"Employing your superior communication and collaborative skills, you will work closely with cross functional stakeholders, software engineers and product teams…",https://ca.indeed.com/rc/clk?jk=ada347191bccecbd&fccid=fe2d21eef233e94a&vjs=3
AI Scientist,Paige,Ontario,,30+ days ago,"In this role you'll be part of a team of world-leading experts in machine learning, computer vision and pathology.
Attend conferences to present your work.",https://ca.indeed.com/rc/clk?jk=c8153ff4581ca484&fccid=8e499e964d7a61eb&vjs=3
Robotics and Automation Specialist,Kilmarnock Enterprise,"Smiths Falls, ON","$75,000 - $85,000 a year",30+ days ago,"Demonstrates equipment functions and features to machine operators.
Ongoing commitment to learning and continual development.
Job Types: Full-time, Permanent.",https://ca.indeed.com/company/Kilmarnock-Enterprise/jobs/Robotic-Automation-Specialist-1da6659d47316ea5?fccid=f4b3cbec6fa3348a&vjs=3
Senior QA Engineer,MedChart Inc.,"Toronto, ON",,30+ days ago,"Meeting with the software/product designers to determine quality assurance parameters.
Leading the QA team in designing QA test procedures.",https://ca.indeed.com/rc/clk?jk=3a400a0ad995822c&fccid=3db672801e2a4c05&vjs=3
Software Developer,SSENSE,"Montréal, QC",,9 days ago,"Experience working with two or more of the following: web application development, Unix/Linux environments, mobile application development, distributed and…",https://ca.indeed.com/rc/clk?jk=85dedf7efe6eb10b&fccid=0ddad3766f834b33&vjs=3
Data Scientist,Apply Digital,"Vancouver, BC",,18 days ago,"Demonstrable statistical modelling or machine learning experience in past projects.
Good understanding of machine learning techniques, such as supervised and…",https://ca.indeed.com/rc/clk?jk=d3996ef55db1c411&fccid=1ead21ea8384c63b&vjs=3
Data Scientist/Machine Learning Engineer,Staffinity Inc.,"North York, ON","$80,000 - $120,000 a year",30+ days ago,"We offer competitive salaries and great bonuses and perks!*.
Staffinity is looking for an Data Scientist/Machine Learning Engineer for a permanent, full time…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfidxgvsSOnPgRcuHcp_ZXLpK83cx41tXvyy8bMUcmwxfKtp3eeTjdnmB8rFe2NV7IzqC9ciaPnXJHOvrkWxBujZBF08WvgIWOdU_3-ZWo9CkctHl-wXsn5TgxZKTRjsXLNFf8e4i6OrH4RhlxXPffbwYBvqr5Y3dtPqOT9ODlzPpYObDWk51LSDyebqbUjXpUHkAs2nLuBG9fYBOaKblqlifqvRbU12YlZkqrm-W9OcaLpTdLO60dZGFkLtA_9uFqJ8CB7Qgh2vX4lUIwhfFcJ2dkELplJy2Mp80_sE2-UjHLTYaB9gx5X7Blij4JmhLUrL0ocCfcAkeKeUFOGq8tpLyGHFiRkqS2rVeOaV72PbRCfPR4TKJVjIGS3xrLqq1e56JJDoFpI_KWBpsYw70oOcXAeyXaiV2SYU2fN95PT_HC58p4ouWP2KqSf--kGOWUISHVJ5JaqKwlzWYHu9_OwV15OxL7xigvUHnGlH-h7GTcQnbFU38W&p=12&fvj=1&vjs=3
Embedded IoT Hardware Engineer,Microfactory Co-operative Inc.,"Cobourg, ON","$45,000 - $55,000 a year",21 days ago,"Work with our mechanical engineers to integrate your designs.
Experience as a professional hardware IoT design engineer (Preference given to those with 2+ years…",https://ca.indeed.com/company/Microfactory-Co--operative-Inc./jobs/Embedded-Iot-Hardware-Engineer-9bd51a4f2463bc0e?fccid=a2a92809cb36c3f7&vjs=3
Software Engineer,Telesat,"Ottawa, ON",,30+ days ago,"The Software Engineer, working under the supervision of Senior Software Engineers and a Manager, will participate in the development of full-stack applications…",https://ca.indeed.com/rc/clk?jk=e057bd6f9ccc8c28&fccid=6aa998038e039ec2&vjs=3
Control Systems Engineer,LJ Welding Automation,"Edmonton, AB",$25 - $32 an hour,30+ days ago,"Continuous learning of new technologies as required.
Design and execute test plans/procedures to verify reliability and machine safety.",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrR72ypQWPMkSJ6mC1zfTkou_WR4Pew-xVx6qXc8muo9Tdf3cmt2ZyjKlqJdTiz4rDNdcO1IJQ_0-yHxfihXmUyaZRWUBsDpZ4LpQx_70633P-gNQjCxjiWBaZsrbJr4Qm2UPqvtIch_1BpWxsBre5e0GiN0EI7n3Vn8Gm4-Y1c2XhefDsbfze8qubAZffl5eWyJ3b6u38SQohx2TIbKnTLti1f5nflGiNfCuAcMpaVjELb1rRD9IH6cUiXTpoJu7Wc1zqt6W7cN0Kcfn1HvOXAUrtyopJT3OCMyZmFxQ8j5CMvVw-sz5XAkB9BKsvz8ojTslRphb3wHzJPL_WLEQhrgtbYwwdxa9kcSzvPMexOvGtKnEhk9QWQF3QiAOzJ1WNESq5_xR23bXt-HXBvWru6-MD7hr3sOH5d0MJC1vrqO9FZN394IXEogavU6s9wLr_TYGEAeBymg-Mek9n26rxu5JUNtUUlJk=&p=0&fvj=1&vjs=3
Intern – Data Engineer,Rio Tinto,"Montréal, QC",,3 days ago,"Data Science and Data Engineering roles have diverse, multi-industry backgrounds and comprehensive skills in the fields of data modelling, engineering, and…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRuIYpQVIGPNIsttW2YIHiaz2TcgBIwKXfnGtrqPJexB9VJZ65bEzBC1e8fUx6XIAgH0WT8WU1TMXLnhl6yDIdDfKziULFIbvqDkd9Hxxhxj9x4ieMDi7Z58xVyYcVq28wlW5ZMESvWVBldhUYfiRNDPpsK9c1zafR50JKzWwh7bsKk3si53uR4wup4tx-Ve7xoQGkf1pryRWfY-6Sajk92dwkWai08veBTQhVoNZMn5ukPiJ-77W1jAjfBZVq2-kQP76CmqVbdAOUoDd9qklVYQl6y15mF5OlWYA6qClMNpO3i_vYXzfWcJH8HyYZrbaWIwcorrwTt5yHbUvnIMzCHn56cby9RhsQY-4r7N32n5Dt3P9_iVj2rI3hOfRXoLxJTvqwEm11OCG9gHCnXAWz-4bkUjW0fiBMzdq3Q4CCQEqelb5x1N1Rb0_4VXRTRQYwKGyobQmNxTXn7R6xcSV6yf3gOwHgXXtYAvHnetisJzdsptXBq8xGnMBAieWLOIy1wuf-mq45Hg==&p=1&fvj=0&vjs=3
"Research Engineer, Vision",Facebook,"Montréal, QC",,30+ days ago,"Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience building systems based on machine learning …",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_1G4MOf4l_p8Xwb6gxqXskJGh74Fij0qpfj-k8BoCzOUq538c_CUqIyBJX8RHXUxw_4qBwvAY47rzXNbpjBhCnIbDTNQAZDL88pYUtX_rpOXVXYuAPnp17jG-iB6l_w2yxmluGBqEYkV4J5zJqm5QvEjU6yoD9fhUXuBtOEP8iRVl7FS4OVJAB2jS15rTnp_KTcYkAm1WxdAdLtXXlbpjsqMcX4iqrG-dMHeokqdGCS-MUXHBgszNHU3wrZpQeC3viGX0Wc3ZXfI7R0nSBuPJCMgI9tc048rNuTu-Cb4Umidn6ODG5FgVZ-f7Q5D-hzGFiGDJp5gaGPUlxF5AAcO6bhZd_E6165DxdAWCkxf8WqMYyOaZbI8hqzKUQoHn0yYDK9qFGZXuSS5GRernv0jc9Q_5rZUo4Wwj2oy1f3shOBpuOm3WDMfa8GknG4Fu2G9qqtoefRygDt1ONyKD09ccGJdMQEJ0XVAPShd2J_2FA6fgt2-vv6WcupXsaoVzNsJzAAHSkFrrHu4FKqh3pHIy-ZXAtawqc_aY8UxHVXSaVb5DV95j10C9N5CUW5GlwI1T1NZ8LyN8dHscByUki8J3yND1VoEk_Kh3UXjCFSZhreLqOrDxJh7d2NQ5VCHpzAn78OkngqrXaoM1InY0Ua80dVX432hmfJpGpDFFfagBGmzwipQfepn_aFsztErzwhqm2keaVgOkzoNAkmDt0X3fIU6PUYSzcXkW3Xc2GcDY_AFVdmmLqz5u7Kwh2wultNkmgr38MDZ4rY2E-RQKKpGbGWYlWbJ4ePpTr9nqcQi-JdYArdlmjvrWyCb-wRALSmuIf32hCxSEzckNSUYWFWKESGRfg0XUxTkJFO5L6aKP-jvBkO0KtE9bmnr7P0YxKLa-auuDsF31gLgglNrrOLSsK9Nf2kt0feYh_4Yb2AHWde1hFpX31A9rIzZffIc75FTOtr_IiD2l8ajkJSo_xRvbb3er6G3QZ5rMd-MdcgYxqFgATbhbDn9v85AiWHd7MSXa5tdI3iYE4sQ6nh9RtucGk5j-wiB_6w7YXSyjAOEGTZ5bG29LquEhxhmwJ_veuhBBKeRHZJ3CvrqnlfN-_8hp9elgIeRxBLU=&p=2&fvj=0&vjs=3
"Machine Learning Engineer (Canada, Remote)",Diligen,"Toronto, ON","$74,062 - $188,358 a year",2 days ago,"Experience in machine learning techniques for reliable content extraction.
3+ years of professional or academic experience in machine learning.",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ajxt_x7qGi4ZTtRN9eg7VEu5IpluJ9NFdX8kiRxuuTAecZpS_szB4MQa_v_oHs2IlJ-yJppc0mP_CkZL8-AFAvl-cnO3hKdagaEynuKomPc53yiy6_kQQX7iOuNk_n6a8oajYC2qEyvFFWMUxTImEnKBGw36lY2jWpxnYcrABTFwZ52q3osgRe1t8IcUQmsOowtZmHwSXVzyQFlTqk6J6F28XMH5GG5_goThmFpcMlxWHfaOBedIYfcaHgNRjYSZAAKkCNAwTKIXFlv4kTPLpbYQMZ17qEqUJ2smb2r8Wjij899dBfHEL0vYqOXW8VJoCnMFOJ9E_D_sD4rqsppoq50rByt9wlAEBgv3pub8c6V22TfGnpYa13bQKEGDbux4AsBAQuesWUlKCnx7Sthf7CBkT-L2_OUzY40Kt7sJByVdTvYX3G1Do26hUn9CLj7ct4g8Dkz5zLKIQd2Z_7JzVh-fO25YN4YHP5_SVjSwyKGQDjnAMYNGD4&p=3&fvj=1&vjs=3
Mechanical Designer,WeighPack Systems Inc,"Saint-Laurent, QC",,30+ days ago,"Experience in pneumatic, automation & machine design.
We are seeking a talented Mechanical Designer who will work as part of the design team, collaborate with…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCDXbw9Ti48nSThmiJLy5q-dSz8kOJT48Q9-w9YMSgU_CcbOJXSaDDT5780g4sqHWC33WNUsgPvELNPfaGs1SYFNOjndH1LrF6AdD38bDiqt16zdGzKV5PFdN0OZeUmF1Rl1rc7RulbEWl9VEdMoHw2AWemqOSljS31d6yRFgIl9GvjGRFu6L5Nba0CbjmqbV7Cv-wgWi4j9HIcXKNHasw4hE06-hUItYrQhKrMERjVmj2yzAQeOmCpJd4gDjQ1KNVlVGIY5-R4TcBoyXGiLDGwL7P6IO8yOGvLB-Ud8iedft9vZBnndLEqrL8SY4xYYvAFBiYeCot8yjdVDq1EUtj24xPQ0BE0TPjDnVYGJqR_VYiQ_ZuTGb556ncumzKbEb3ECq3E3vufYflt0oytxiPq5v_NmZsy719b7rNfMBqGS51cNCPEwEMPuxbxfXR0Qv0FgEJMs3HhLiw7VADyanPGbrqQiihLpDvtjt5vHFQ1Q_pnTr7Bl0ROlSzAwnS5tLVQneZMMXCSVHw9GJz4yVIiUxhX9zK6o96emHNSKYLEyNgEm0jaYhhyqZiFPNR66Rum-eo8Mp-jkzDzFFf2SG9bzuXT4MlpsuuoVQto8qUpVQOwoSrKNZCJ3sBoHXFYViEcc45HK_FkBPm_oQfv77wASWHDctSO1ius25SFXJ7xvurjLTT8KvNX_dsW10WzsRfW2wVjynd1UchyH7zhuoQ&p=4&fvj=0&vjs=3
Machine Learning Engineer,Boast Capital,"Montréal, QC",,3 days ago,"Fullstack development of AI features and applications in various areas of the Boast.
Identify appropriate models to be used and improve model accuracy for the…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AmU_6Ck02_vvL6KV9wtnJ-CwUT9JezEHjmUrnh2V-rVbMzR6eF5eAuxg283_suoDSCw3sQyOKtfdsFe82UMrL5WYzM8X7EqqW5IGJ6qZaJw-1DK3eiVa60dnH7dg94AwOzKRqnBZbtCvt56wneU605R8cUy2U79H_8uXa56Qweh043JT2YaQVc6tkdlq7eJmJIE7alNRuwif3gHxkgPxF-fE2V5Km9er2mEESx85JS3rmFSOiAfvxafqHIf-rfHgLpq8MvnJYSXZmVGjA6Apiu8kL5ZF24yjBfaPEtJwIBkxtxycWTYydjsIQOlSBvbgNCe4mSU-UfRzIe55uufYzkKs8QOiDgr2avylj4WPStJ4MhxleOPfC7olB_c5fCwZ1eNpZDW7TtGzUrXUAAwDgGKqc6v-3Ecf9tmMN0apeUSXcSK4bx1h9IwS9BI6rCknM-gOQmzMoKBUCZIHJottT2JmnpW4IT78pl4WOexKVf3p9Lf5PjXnEh&p=5&fvj=0&vjs=3
Senior Machine Learning Engineer - InSight - OPS,Iron Mountain,Remote,,13 days ago,"The ML engineer works closely with multiple internal Iron Mountain teams to develop tech driven implementation solutions, create/enhance tools for performance…",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BSVR9pnHv7AMT6pP8OlXORl0H6Qt8z8pLsQHIKubnox-6fJqxU-qMhmvruir5Vd9SMhkR8ENXiBaELM5hndMGeHGPXRwuNcrv4T9nSr9QFKrxJHU5S5KQ8Y3uIBZlHtbC5CLfR80nYdmvP-mHhopvKUhrIdqTPSUuXBBW4VvQdpy36dJMVZ31eNFySK8WxDsQCVK1lh150kcNuJCI4nV2PGon4x88I32l0xF3B-8illsvKStLxOSexhfkVZU7ClhggSAMxwQAuXRB2MNH8-e7kM4J7goMCOtO4Y-CZdAxPR1H9um_PuJJIq-aTegN2uiGfXJVtEHdLSuOH97padjUv1FIa9l4qB-tYvR2cpMZdA2Z9OQMonkrsa6Zg_xOrrd95GSflmuKcHZTo0Pju0Gtcv1K7zWMPr-LiMjhvLbIJMeyvOSmguraFQfge6nFT9FNeOdJvt5boJ_moPmdpVl8-Ma6k91wCUEU5iBTggXKo-gH9K7BeOETJ5Vi08YOhlkU=&p=6&fvj=1&vjs=3
Research Scientist - Cell Biology & Assay Development,AbCellera Biologics,"Vancouver, BC",,12 days ago,"At AbCellera, we’re solving tough problems and creating innovative solutions from the ground up - custom immunizations, microfluidics, high-throughput imaging,…",https://ca.indeed.com/rc/clk?jk=00f2c62da0e1d6bf&fccid=6161745df4a18957&vjs=3
Site Reliability Engineer,Paytm,"Montréal, QC",,30+ days ago,We are looking for Site Reliability Engineers who enjoy designing and developing systems where they can balance Reliability and Frequent Improvements.,https://ca.indeed.com/rc/clk?jk=7460ac3efbf1b6e0&fccid=4e917d9a3b14765d&vjs=3
Software Developer - Desktop Applications,AbCellera Biologics,"Vancouver, BC",,12 days ago,"Developing visualizations for the results of our machine learning analysis pipelines.
You will be joining a multi-disciplinary team of engineers, with expertise…",https://ca.indeed.com/rc/clk?jk=ea4732f6ff6d56a4&fccid=6161745df4a18957&vjs=3
Technical Recruiter - Software Development,AbCellera Biologics,"Vancouver, BC",,12 days ago,"Sourcing top talent for high-impact roles across the different software/technical teams at AbCellera.
Partnering with hiring managers to assess talent needs and…",https://ca.indeed.com/rc/clk?jk=420bbdabab07b6d2&fccid=6161745df4a18957&vjs=3
"Software Engineer, Graph Platform",Square,"Toronto, ON",,1 day ago,"You lead small projects and mentor junior engineers.
Square made credit card payments possible for all by turning a mobile phone into a credit card reader.",https://ca.indeed.com/rc/clk?jk=48fd409497af339c&fccid=09abad886b83c501&vjs=3
Senior Technical Recruiter (ML/AI),ServiceNow,"Montréal, QC",,19 days ago,We are looking for someone to leverage their industry knowledge to assess the hiring needs of the business and effectively match candidates to the roles in…,https://ca.indeed.com/rc/clk?jk=e8b6244b3f780fa3&fccid=7442885bc0fa7c14&vjs=3
Senior Systems Engineer,IDS Systems,"Ottawa, ON",,4 days ago,"Work with team members to engineer projects, identify new products and solutions, and research solutions for existing clients.
WAN Technology (MPLS, VPLS, VPN).",https://ca.indeed.com/company/IDS-Systems-Consultants-Inc./jobs/Senior-System-Engineer-eff121a091f82efc?fccid=bfe97e8b9f8f6dde&vjs=3
Computational Neuroscientist,"Inscopix, Inc.","Vancouver, BC",,30+ days ago,"Building machine learning models that predict behavioral states from neural data.
Applying machine learning and/or deep learning techniques to answer…",https://ca.indeed.com/rc/clk?jk=a83fab2a9becee45&fccid=c6f63404f4580642&vjs=3
"Research Engineer Intern, Simulation Technology",NVIDIA,Canada,,30+ days ago,"Classwork background in core computer science areas, e.g.: algorithms, software design, UI design, computer graphics, machine learning.",https://ca.indeed.com/rc/clk?jk=6a5b30b73632848c&fccid=c267f29f0f85e8b8&vjs=3
Machine Learning Engineer/Data Scientist,Crescendo Technology,"Toronto, ON",,30+ days ago,"We are looking for someone with strong background in statistics, modelling and algorithms (machine learning or other) and who has the ability to convey complex…",https://ca.indeed.com/rc/clk?jk=aaa0e6ffcde99922&fccid=e31cf01864a962fb&vjs=3
Medical Image Annotation Expert,MEDO AI,"Edmonton, AB",,30+ days ago,"Medical Image Annotation Expert MEDO.ai is a health-tech startup, dual headquartered in Edmonton and Singapore. We are looking for a passionate and talented…",https://ca.indeed.com/rc/clk?jk=92e1f20a4d8ca54f&fccid=7db9f86eeaa240cf&vjs=3
Cloud Specialist,Coveo,"Montréal, QC",,30+ days ago,"In your team, you'll quickly become the reference concerning the deployment of content developed by your peers, and make everyone's life easier by allowing…",https://ca.indeed.com/rc/clk?jk=6ad00b9053987124&fccid=d88c6f1f51a8fd9b&vjs=3
Sr. Software Engineer (Full Stack),EarthDaily Analytics,"Vancouver, BC",,1 day ago,From defining use cases for remote sensing ground segments and API driven services to secure transactional systems within a cloud-based infrastructure and…,https://ca.indeed.com/rc/clk?jk=369eee67e7d902f0&fccid=dd616958bd9ddc12&vjs=3
Entry Level Software Developer - Remote,"Calian, Advanced Technologies","Saskatoon, SK",,30+ days ago,The Entry Level Software Developer position is an exciting opportunity to join a growing Saskatchewan based tech organization. We're looking for developers…,https://ca.indeed.com/rc/clk?jk=1928c445042278bd&fccid=aea4f5b920dd0ca2&vjs=3
Power Systems Optimization Engineer,BluWave-ai,"Ottawa, ON",,30+ days ago,At BluWave-ai our mission is to deliver innovative AI solutions to accelerate the transformation towards renewable energy. We apply AI to increase the use of…,https://ca.indeed.com/rc/clk?jk=17e4b6b674bf01cf&fccid=ff8a8fcb1d282c0a&vjs=3
Senior Backend Engineer ( Ruby on Rails),UserTesting,"Vancouver, BC",,30+ days ago,Job Description UserTesting is seeking a senior back-end engineer for its API Ecosystem team. which is working to turn manual processes into automated or self…,https://ca.indeed.com/rc/clk?jk=84ef9e555f74efe0&fccid=b3d7e23ba33dc4c3&vjs=3
General Labourer,HealthCraft Products Inc,"Ottawa, ON",$16 - $18 an hour,16 days ago,General Manufacturing / Machine Shop Labourer (Business - Medical Equipment & Bathroom Accessories Manufacturer)* Performing tasks involving physical…,https://ca.indeed.com/company/HealthCraft-Products-Inc/jobs/General-Labourer-743a92c496875c0b?fccid=f5805dfdc3ed6c58&vjs=3
Machine Learning Engineer,nugget.ai,"Toronto, ON",,30+ days ago,nugget.ai is recruiting and screening candidates on behalf of our partner TEEMA recruiting group. TEEMA is recruiting on behalf of a research/IT firm that…,https://ca.indeed.com/rc/clk?jk=899a74bb580e7f63&fccid=9272fcc41fd6c68d&vjs=3
Research Intern - Graphics Pixel Rendering (PhD),Facebook,"Toronto, ON",,30+ days ago,"The Facebook Reality Labs (FRL) Research Team brings together a world-class team of researchers, developers, and engineers to create the future of AR and VR,…",https://ca.indeed.com/rc/clk?jk=db7ecf2220f1b5ee&fccid=1639254ea84748b5&vjs=3
Senior Frontend Engineer,Credit Sesame,"Toronto, ON",,30+ days ago,"Credit Sesame is a fast growing FinTech company, a pioneer and the leader in personal credit management with a disruptive vision for personal finance through…",https://ca.indeed.com/rc/clk?jk=bbbfb9ee925c7981&fccid=6374759aed463ee1&vjs=3
Senior iOS Engineer,Credit Sesame,"Toronto, ON",,30+ days ago,"Credit Sesame is a fast growing FinTech company, a pioneer and the leader in personal credit management with a disruptive vision for personal finance through…",https://ca.indeed.com/rc/clk?jk=27ff1cafbbe46f16&fccid=6374759aed463ee1&vjs=3
